School Number,District,School Code,Name,ENG,NEP,MATH,SCI,SOC,HPE,TOTAL,SAP,DIST,FIRST,SECOND,THIRD,PASS,FAIL,PASS PERCENT
4527,SURKHET,66053,NEPAL RASTRIYA MA VI NETA,16.7,41.5,21.6,16.6,23.3,29.8,14,13,0,0,0,0,0,13,0
4528,SURKHET,66055,NEPAL RASTRIYA MA VI GAGRETAL JARBUTTA,27.3,47.2,18.5,19.2,42.4,41.4,41,41,0,2,8,1,11,30,26.83
4529,SURKHET,66056,ADARSHRAJ MEMORIAL ENGLISH SCHOOL LATIKOI,L 44.4,55.1,45.2,36.8,46.4,46.4,17,17,0,7,8,1,16,1,94.12
4530,SURKHET,66057,SHIVA MA VI DHULIYABIT,43.3,60.3,36.4,40.7,52.9,46.6,7,7,0,2,4,0,6,1,85.71
4531,SURKHET,66058,NEPAL RASTRIYA MA VI BIRENDRANAGAR,42.4,47.4,36.2,29.6,38,45.7,31,31,0,5,14,0,19,11,61.29
4532,SURKHET,66059,SURKHET HORIZON ACADEMY BIRENDRANAGAR,58.6,56.1,42.9,30.9,34.4,44.4,17,17,0,5,4,0,9,8,52.94
4533,BANKE,67000,PRIVATE BANKE,26.4,38.9,15.7,13.2,26.8,26.8,73,72,0,4,7,0,11,60,15.28
4534,BANKE,67001,MANGAL PRASAD MA VI NEPALGUNJ,35.2,48,16.9,23.6,42.8,37,65,64,0,5,12,0,17,47,26.56
4535,BANKE,67002,JANATA MA VI SANTAKUTI,22.7,31.4,16.4,17.7,31.8,30.7,133,133,0,2,11,4,17,116,12.78
4536,BANKE,67003,NARAYAN MA VI NEPALGUNJ,36.1,48.5,30,23.1,32,35.6,78,78,0,4,27,3,34,44,43.59
4537,BANKE,67004,MAHENDRA MA VI NEPALGUNJ,35.3,46.8,36.3,24.3,32.8,34.2,114,113,0,10,30,16,56,57,49.56
4538,BANKE,67005,SARASWATI MA VI NEPALGUNJ,40.5,44.3,29.9,30,38.9,36.1,15,15,0,0,11,1,12,3,80
4539,BANKE,67006,MAHARAJA MA VI PURAINA,20.3,26,25.1,23,29.8,32.1,28,28,0,1,7,1,9,19,32.14
4540,BANKE,67007,JANATA ADARSHA MA VI JABDAHAWA,27.6,39.7,17.8,27.4,30.1,30.7,69,69,0,1,9,3,13,56,18.84
4541,BANKE,67008,TRIBHUVAN MA VI KOHALPUR,28.8,50,30.8,28.9,38,42.6,167,167,0,14,61,4,79,88,47.31
4542,BANKE,67009,ADARSHA MA VI BAGESWORI DIGAUN KHAJURA,29.2,52.8,29.7,29.3,49.5,40,44,44,0,2,16,1,19,25,43.18
4543,BANKE,67010,SHANKAR MA VI THAPAWA,19.4,29.5,8.3,13.5,26.2,19.9,105,104,0,0,6,2,8,96,7.69
4544,BANKE,67011,BHUWAR BHAWANI MA VI BINAUNA,24,37.2,12.4,16.7,32.3,25.7,66,66,0,0,5,4,9,57,13.64
4545,BANKE,67012,JANAKI MA VI KHAJURA,31.9,36.7,18.8,23.9,37.1,33.9,21,21,0,0,3,1,4,17,19.05
4546,BANKE,67013,LAXMI MA VI MADUI,30.1,44.5,27.9,19.6,37.6,31,34,33,0,1,7,2,10,23,30.3
4547,BANKE,67014,YUDDHA SANSKRIT MA VI NEPALGUNJ,30.9,39.4,19.6,17.4,39,31.5,10,10,0,0,2,0,2,8,20
4548,BANKE,67015,MAITAHAWA MA VI CHANDRANAGAR,23.1,34.8,16,20,34.1,32.2,57,57,0,0,9,2,11,46,19.3
4549,BANKE,67016,ANATHALAYA GAUSIYA MA VI NEPALGUNJ,16.3,29,17.4,12.8,18,17.4,40,40,0,0,1,1,2,38,5
4550,BANKE,67017,SURYODAYA MA VI CHISAPANI,25.9,41.2,23.3,27.3,29.4,29.7,70,70,0,1,15,6,22,48,31.43
4551,BANKE,67018,ANGELS HIGH SCHOOL GHARBARI TOLE,57,59.4,61.8,41.3,53.4,47,70,70,1,52,15,0,68,2,97.14
4552,BANKE,67019,JAYABAGESHWARI MA VI NEPALGUNJ,52.5,58.8,51.9,45.2,58,46.2,66,66,3,38,17,0,58,8,87.88
4553,BANKE,67020,ADARSHA MA VI RANJHA,20.3,42.9,26.3,24.5,32.7,33.5,84,84,0,3,15,9,27,57,32.14
4554,BANKE,67021,FULTEKRA MA VI NEPALGANJ,31.4,36.5,27.8,25,39.7,37.1,26,26,0,1,3,2,6,20,23.08
4555,BANKE,67022,MAHENDRA MA VI MATEHIYA,15.7,18.8,7.2,11.3,20.3,22.8,46,46,0,0,2,0,2,44,4.35
4556,BANKE,67023,JANAKALYAN MA VI BADRIPUR,30.7,35,23.9,26.1,31.7,32.8,32,32,0,1,7,2,10,22,31.25
4557,BANKE,67024,SIDDHESWAR MA VI SIDHANWA,30.3,42.4,24.9,21.4,34.9,27.8,55,55,0,1,13,4,18,37,32.73
4558,BANKE,67025,GANESH MA VI DHAKARI,24.6,40.4,18.2,18.5,32.1,26,42,42,0,0,5,3,8,34,19.05
4559,BANKE,67026,KUSUMESHWOR MA VI KUSHMA,31.1,38,22.9,23.5,29.7,35.7,50,50,0,1,10,1,12,38,24
4560,BANKE,67027,SHIVA SHAKTI MA VI PARANI,23.5,41.9,19.9,14.7,32.7,27.7,75,75,0,0,6,0,6,69,8
4561,BANKE,67028,MODERN PUBLIC ENGLISH BOARDING SCHOOL,59.7,47.7,71,43,52.3,47.5,29,29,1,19,8,0,28,1,96.55
4562,BANKE,67029,CHANDRA MEWALAL ENGLISH MI SCHOOL RANITAL,50.7,40.2,36.5,29.3,42.2,35,23,23,0,5,5,2,12,11,52.17
4563,BANKE,67030,YOGINI MA VI GOUGHAT,31.5,62.6,37.7,32.3,50.6,43.6,32,32,0,3,17,0,20,12,62.5
